Location,SMM,SMMRace,SMMPercent,RiskFactor1,AgeRace,Ageover35Percent,RiskFactor2,BleedingDisorderRace,BleedingDisorderPercent,RiskFactor3,AsthmaRace,AsthmaPercent,RiskFactor4,PreclampsiaRace,PreclampsiaPercent,RiskFactor5,DiabetesRace,DiabetesPercent,RiskFactor6,Race,Percent,RiskFactor7,PretermRace,PretermPercent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,SMM_Rate_per_10000,Overall,69,Age_>=_35_at_Delivery_per_100,Overall,22.5,Bleeding_Disorder,Overall,2.4,Asthma_per_100,Overall,5,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.1,Preexisting_Diabetes_per_100,Overall,1.4,Cardiac_Disease_per_100,Overall,1.2,Current_Birth_Preterm_per100,Overall,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York-Newark-Jersey_City_NY-NJ-PA,SMM_Rate_per_10000,Overall,86,Age_>=_35_at_Delivery_per_100,Overall,36.1,Bleeding_Disorder,Overall,3.5,Asthma_per_100,Overall,5.6,,Overall,7.7,,Overall,1,Cardiac_Disease_per_101,Overall,1.4,Current_Birth_Preterm_per101,Overall,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los_Angeles-Long_Beach-Anaheim_CA,SMM_Rate_per_10000,Overall,78,Age_>=_35_at_Delivery_per_100,Overall,40.9,Bleeding_Disorder,Overall,2.5,Asthma_per_100,Overall,4.6,,Overall,7.2,,Overall,1.1,Cardiac_Disease_per_102,Overall,1,Current_Birth_Preterm_per102,Overall,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago-Naperville-Elgin_IL-IN-WI,SMM_Rate_per_10000,Overall,66,Age_>=_35_at_Delivery_per_100,Overall,29.6,Bleeding_Disorder,Overall,2.9,Asthma_per_100,Overall,5.9,,Overall,8.9,,Overall,1.4,Cardiac_Disease_per_103,Overall,1.2,Current_Birth_Preterm_per103,Overall,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas-Fort_Worth-Arlington_TX,SMM_Rate_per_10000,Overall,73,Age_>=_35_at_Delivery_per_100,Overall,22.3,Bleeding_Disorder,Overall,2.4,Asthma_per_100,Overall,5,,Overall,9.4,,Overall,1.5,Cardiac_Disease_per_104,Overall,0.9,Current_Birth_Preterm_per104,Overall,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia-Camden-Wilmington_PA-NJ-DE-MD,SMM_Rate_per_10000,Overall,82,Age_>=_35_at_Delivery_per_100,Overall,27.5,Bleeding_Disorder,Overall,3.8,Asthma_per_100,Overall,7.5,,Overall,12.8,,Overall,1.2,Cardiac_Disease_per_105,Overall,1.6,Current_Birth_Preterm_per105,Overall,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston-The_Woodlands-Sugar_Land_TX,SMM_Rate_per_10000,Overall,74,Age_>=_35_at_Delivery_per_100,Overall,24.4,Bleeding_Disorder,Overall,2.2,Asthma_per_100,Overall,3.8,,Overall,10.4,,Overall,1.4,Cardiac_Disease_per_106,Overall,0.9,Current_Birth_Preterm_per106,Overall,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington-Arlington-Alexandria_DC-VA-MD-WV,SMM_Rate_per_10000,Overall,68,Age_>=_35_at_Delivery_per_100,Overall,35.8,Bleeding_Disorder,Overall,3.1,Asthma_per_100,Overall,5.3,,Overall,8.2,,Overall,1,Cardiac_Disease_per_107,Overall,1.3,Current_Birth_Preterm_per107,Overall,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami-Fort_Lauderdale-West_Palm_Beach_FL,SMM_Rate_per_10000,Overall,110,Age_>=_35_at_Delivery_per_100,Overall,31.4,Bleeding_Disorder,Overall,1.9,Asthma_per_100,Overall,2.8,,Overall,7,,Overall,1,Cardiac_Disease_per_108,Overall,1,Current_Birth_Preterm_per108,Overall,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta-Sandy_Springs-Roswell_GA,SMM_Rate_per_10000,Overall,77,Age_>=_35_at_Delivery_per_100,Overall,25.4,Bleeding_Disorder,Overall,3,Asthma_per_100,Overall,5.3,,Overall,10.6,,Overall,1.3,Cardiac_Disease_per_109,Overall,1.2,Current_Birth_Preterm_per109,Overall,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston-Cambridge-Newton_MA-NH,SMM_Rate_per_10000,Overall,93,Age_>=_35_at_Delivery_per_100,Overall,33.5,Bleeding_Disorder,Overall,3,Asthma_per_100,Overall,5.8,,Overall,9.7,,Overall,1,Cardiac_Disease_per_110,Overall,1.2,Current_Birth_Preterm_per110,Overall,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco-Oakland-Hayward_CA,SMM_Rate_per_10000,Overall,84,Age_>=_35_at_Delivery_per_100,Overall,42.5,Bleeding_Disorder,Overall,3.6,Asthma_per_100,Overall,6.4,,Overall,8.4,,Overall,1.1,Cardiac_Disease_per_111,Overall,1.5,Current_Birth_Preterm_per111,Overall,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit-Warren-Dearborn_MI,SMM_Rate_per_10000,Overall,82,Age_>=_35_at_Delivery_per_100,Overall,21.9,Bleeding_Disorder,Overall,2.9,Asthma_per_100,Overall,7.2,,Overall,10.7,,Overall,1.2,Cardiac_Disease_per_112,Overall,1.3,Current_Birth_Preterm_per112,Overall,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside-San_Bernardino-Ontario_CA,SMM_Rate_per_10000,Overall,80,Age_>=_35_at_Delivery_per_100,Overall,22.5,Bleeding_Disorder,Overall,1.8,Asthma_per_100,Overall,4.1,,Overall,7.6,,Overall,1.5,Cardiac_Disease_per_113,Overall,1,Current_Birth_Preterm_per113,Overall,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix-Mesa-Scottsdale_AZ,SMM_Rate_per_10000,Overall,70,Age_>=_35_at_Delivery_per_100,Overall,21.2,Bleeding_Disorder,Overall,1.8,Asthma_per_100,Overall,5.1,,Overall,8.9,,Overall,1.6,Cardiac_Disease_per_114,Overall,1.1,Current_Birth_Preterm_per114,Overall,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle-Tacoma-Bellevue_WA,SMM_Rate_per_10000,Overall,72,Age_>=_35_at_Delivery_per_100,Overall,31.1,Bleeding_Disorder,Overall,3.1,Asthma_per_100,Overall,5.5,,Overall,8.7,,Overall,1.4,Cardiac_Disease_per_115,Overall,1.1,Current_Birth_Preterm_per115,Overall,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis-St._Paul-Bloomington_MN-WI,SMM_Rate_per_10000,Overall,98,Age_>=_35_at_Delivery_per_100,Overall,25,Bleeding_Disorder,Overall,2.7,Asthma_per_100,Overall,6.4,,Overall,9.7,,Overall,1.1,Cardiac_Disease_per_116,Overall,1.1,Current_Birth_Preterm_per116,Overall,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Diego-Carlsbad_CA,SMM_Rate_per_10000,Overall,79,Age_>=_35_at_Delivery_per_100,Overall,35.7,Bleeding_Disorder,Overall,2.5,Asthma_per_100,Overall,5.1,,Overall,5.9,,Overall,1.2,Cardiac_Disease_per_117,Overall,1,Current_Birth_Preterm_per117,Overall,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St._Louis_MO-IL,SMM_Rate_per_10000,Overall,51,Age_>=_35_at_Delivery_per_100,Overall,20.2,Bleeding_Disorder,Overall,2.4,Asthma_per_100,Overall,5.4,,Overall,11.2,,Overall,1.2,Cardiac_Disease_per_118,Overall,1.4,Current_Birth_Preterm_per118,Overall,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampa-St._Petersburg-Clearwater_FL,SMM_Rate_per_10000,Overall,74,Age_>=_35_at_Delivery_per_100,Overall,25.4,Bleeding_Disorder,Overall,2.9,Asthma_per_100,Overall,5.7,,Overall,9.5,,Overall,1.3,Cardiac_Disease_per_119,Overall,1.4,Current_Birth_Preterm_per119,Overall,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore-Columbia-Towson_MD,SMM_Rate_per_10000,Overall,59,Age_>=_35_at_Delivery_per_100,Overall,28,Bleeding_Disorder,Overall,2.9,Asthma_per_100,Overall,10.1,,Overall,10.6,,Overall,1.4,Cardiac_Disease_per_120,Overall,2.1,Current_Birth_Preterm_per120,Overall,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver-Aurora-Lakewood_CO,SMM_Rate_per_10000,Overall,87,Age_>=_35_at_Delivery_per_100,Overall,29.6,Bleeding_Disorder,Overall,2.6,Asthma_per_100,Overall,6.3,,Overall,11.6,,Overall,1.1,Cardiac_Disease_per_121,Overall,1,Current_Birth_Preterm_per121,Overall,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
